79501	231.46	OR4F5	chr1	69088	70010
26683	230.769	OR4F3	chr1	367656	180795228
729759	183.168	OR4F29	chr1	367656	180795228
81399	232.2	OR4F16	chr1	367656	180795228
148398	175.559	SAMD11	chr1	861118	879963
26155	174.206	NOC2L	chr1	879580	894681
339451	203.974	KLHL17	chr1	895964	901101
84069	167.041	PLEKHN1	chr1	901874	910486
84808	162.248	PERM1	chr1	910576	917499
57801	173.435	HES4	chr1	934339	935554
9636	131.676	ISG15	chr1	948844	949921
375790	226.789	AGRN	chr1	955500	991501
401934	278.048	RNF223	chr1	1007123	1009689
54991	123.959	C1orf159	chr1	1017195	1051738
254173	177.837	TTLL10	chr1	1109283	1133315
8784	199.062	TNFRSF18	chr1	1138885	1142091
7293	169.745	TNFRSF4	chr1	1146703	1149550
51150	163.858	SDF4	chr1	1152285	1167449
126792	205.026	B3GALT6	chr1	1167626	1170422
388581	155.531	C1QTNF12	chr1	1177823	1182104
118424	220.385	UBE2J2	chr1	1189289	1209236
6339	123.467	SCNN1D	chr1	1215813	1227411
116983	193.058	ACAP3	chr1	1227761	1243271
126789	169.219	PUSL1	chr1	1243957	1247059
54973	154.778	INTS11	chr1	1246962	1260069
80772	131.435	CPTP	chr1	1260140	1264278
83756	265.223	TAS1R3	chr1	1266723	1270702
1855	144.157	DVL1	chr1	1270655	1284494
54587	187.258	MXRA8	chr1	1288066	1293929
54998	197.499	AURKAIP1	chr1	1309107	1310582
81669	152.365	CCNL2	chr1	1321088	1334720
55052	172.942	MRPL20	chr1	1337273	1342695
441869	184.221	ANKRD65	chr1	1353797	1356826
643965	256.278	TMEM88B	chr1	1361505	1363169
64856	175.111	VWA1	chr1	1370900	1378264
219293	166.873	ATAD3C	chr1	1385066	1405540
83858	196.234	ATAD3B	chr1	1407132	1431586
55210	143.721	ATAD3A	chr1	1447520	1470069
339453	275.88	TMEM240	chr1	1470155	1475742
29101	191.654	SSU72	chr1	1477050	1510264
643988	190.123	FNDC10	chr1	1533385	1535478
